"DC_NOME","SG_ESTADO","CD_SITUACAO","VL_LATITUDE","VL_LONGITUDE","VL_ALTITUDE","DT_INICIO_OPERACAO","CD_ESTACAO"
"ITACOATIARA","AM","Pane","-3.13333333","-58.48277777","41.54","4/16/2008","A121"
"ITAITUBA","PA","Operante","-4.27694443","-55.99305555","24.46","2/16/2008","A231"
"ITAJAI","SC","Operante","-26.95083333","-48.76194444","9.76","6/23/2010","A868"
"ITAMARAJU","BA","Pane","-17.00694444","-39.55805555","110","5/27/2016","A455"
"ITAOBIM","MG","Operante","-16.57555554","-41.48555555","271.63","9/4/2007","A550"
"ITAPACI","GO","Operante","-14.97972221","-49.53944444","551","2/2/2007","A015"
"ITAPETINGA","BA","Operante","-15.24472221","-40.22944443","271.48","6/24/2009","A446"
"ITAPEVA","SP","Operante","-23.98194443","-48.88583333","743.33","7/24/2006","A714"
"ITAPIPOCA","CE","Pane","-3.48416666","-39.5886111","104.49","9/4/2008","A359"
"ITAPIRA","SP","Operante","-22.415","-46.80527777","634.89","11/4/2007","A739"
"ITAPOA","SC","Operante","-26.08138888","-48.64166666","6.18","6/5/2007","A851"
"ITAPORANGA","PB","Operante","-7.31833332","-38.14083333","292","11/2/2017","A373"
"ITAQUIRAI","MS","Operante","-23.44944444","-54.18194443","337.82","5/27/2008","A752"
"ITAUBAL","AP","Pane","0.56777777","-50.8236111","21","8/23/2017","A251"
"ITIQUIRA","MT","Operante","-17.17499999","-54.50166666","593.12","8/13/2008","A933"
"ITIRUCU","BA","Operante","-13.52777777","-40.11972221","757.42","2/8/2003","A407"
"ITUIUTABA","MG","Operante","-18.95277777","-49.52499999","540.08","5/11/2006","A512"
"ITUMBIARA","GO","Pane","-18.40972222","-49.19194444","491.17","10/31/2007","A035"
"ITUPORANGA","SC","Operante","-27.41833332","-49.64694444","479.79","3/3/2008","A863"
"ITUVERAVA","SP","Operante","-20.35972222","-47.77527777","610.58","7/16/2008","A753"
"IVAI","PR","Operante","-25.01083333","-50.85388888","803.58","7/10/2006","A818"
"IVINHEMA","MS","Operante","-22.30055555","-53.82277777","377.36","2/7/2003","A709"
"JACOBINA","BA","Pane","-11.205","-40.465","440.78","4/30/2008","A440"
"JAGUARAO","RS","Operante","-32.53472221","-53.37583332","31.48","1/8/2007","A836"
"JAGUARIBE","CE","Operante","-5.90555555","-38.62777777","149.31","9/9/2008","A358"
"JAGUARUANA","CE","Operante","-4.83777777","-37.69972221","12","11/9/2007","A339"
"JALES","SP","Operante","-20.165","-50.59499999","460.44","8/21/2007","A733"
"JANUARIA","MG","Operante","-15.44805555","-44.36638888","468","6/22/2016","A559"
"JAPIRA","PR","Operante","-23.77333332","-50.18055554","692.88","2/28/2008","A871"
"JARDIM","MS","Operante","-21.4786111","-56.13777777","252.47","8/3/2011","A758"
"JATAI","GO","Operante","-17.9236111","-51.71749999","670.08","5/22/2007","A016"
"JEREMOABO","BA","Operante","-10.08083332","-38.34583333","261","8/12/2015","A450"
"JOACABA","SC","Operante","-27.16916666","-51.55888888","767.63","9/19/2007","A841"
"JOAO PESSOA","PB","Operante","-7.16527777","-34.81555555","33.5","7/20/2007","A320"
"JOAO PINHEIRO","MG","Operante","-17.78444444","-46.11944443","877.05","7/6/2007","A553"
"JOAQUIM TAVORA","PR","Operante","-23.50527777","-49.94638888","512.67","11/22/2006","A821"
"JOSE BONIFACIO","SP","Pane","-21.08555555","-49.92027777","408.35","9/2/2007","A735"
"JUARA","MT","Pane","-11.28027777","-57.52666666","263.43","11/1/2006","A914"
"JUINA","MT","Operante","-11.37499999","-58.77472221","365.39","11/23/2006","A920"
"JUIZ DE FORA","MG","Operante","-21.769965","-43.364329","936.88","5/25/2007","A518"
"JUTI","MS","Operante","-22.85722222","-54.60555555","375.18","6/15/2008","A749"
"LABREA","AM","Pane","-7.26055555","-64.7886111","61.91","7/26/2008","A111"
